,Marka oraz model,Rok produkcji,Przebieg,Rodzaj paliwa,Cena
0,Toyota Auris II,2016,91 567 km,Benzyna,49 500
1,Renault Twingo III,2018,7 900 km,Benzyna,29 000
2,Peugeot 308 T9,2015,157 000 km,Diesel,29 900
3,Volvo XC 60 I,2010,499 000 km,Diesel,35 600
4,BMW X1 F48,2019,5 000 km,Diesel,149 900
5,Volkswagen Golf Sportsvan,2016,80 485 km,Benzyna,67 900
6,BMW M2,2019,1 800 km,Benzyna,284 900
7,BMW 6GT,2019,20 000 km,Diesel,229 900
8,BMW Seria 5 G30/G31,2019,6 500 km,Benzyna,399 900
9,Ford Mondeo Mk5,2018,19 476 km,Diesel,86 900
10,BMW Seria 5 G30/G31,2019,3 800 km,Diesel,242 900
11,Volkswagen Caravelle,2019,1 km,Diesel,158 165
12,Volkswagen Amarok,2019,1 km,Diesel,211 916
13,BMW Seria 5 G30/G31,2019,6 300 km,Benzyna,245 900
14,Ford Fiesta Mk8,2019,5 km,Benzyna,67 900
15,Renault Captur,2014,71 337 km,Benzyna,39 900
16,Seat Arona,2019,5 km,Benzyna,80 400
17,Seat Arona,2019,5 km,Benzyna,83 700
18,Seat Ibiza V,2019,5 km,Benzyna,74 990
19,Seat Arona,2019,5 km,Benzyna,90 600
20,Seat Tarraco,2019,5 km,Benzyna,152 500
21,Seat Leon III,2019,5 km,Benzyna,67 500
22,Seat Leon III,2019,5 km,Benzyna,78 900
23,Seat Leon III,2019,5 km,Benzyna,82 500
24,Seat Leon III,2019,5 km,Benzyna,78 500
25,Seat Leon III,2019,5 km,Benzyna,73 700
26,Seat Leon III,2019,5 km,Benzyna,67 900
27,Seat Leon III,2019,5 km,Benzyna,85 990
28,Audi A1,2019,5 km,Benzyna,124 924
29,Audi A7 C8,2019,5 km,Diesel,521 881
30,Audi Q8,2019,5 km,Diesel,435 216
31,Audi,2019,5 km,Elektryczny,467 080
